load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,WithdrawFromCentralGrid
North,2025011500,2.66058,2.61925,5.27983
North,2025011512,2.66058,1.56328,4.22386
North,2025011600,2.66058,2.09127,4.75185
North,2025011612,2.66058,1.77448,4.43506
North,2025061500,2.66058,1.56328,4.22386
North,2025061512,6.3358,0,6.3358
North,2035011512,5.76979,0.566005,6.3358
Central,2025011500,6.63546,-2.72839,3.90707
Central,2025011512,5.48633,-2.31843,3.1679
Central,2025011600,5.97988,-2.1784,3.80148
Central,2025011612,5.48633,-2.00164,3.48469
Central,2025061500,5.69205,-2.52415,3.1679
Central,2025061512,7.36633,-3.14247,4.22386
Central,2035011512,14.1512,-9.29374,4.85744
South,2025011500,6.3358,0,6.3358
South,2025011512,6.74315,0.648612,7.39176
South,2025011600,6.86378,0,6.86378
South,2025011612,7.45892,0.144037,7.60296
South,2025061500,7.60574,0.841987,8.44773
South,2025061512,7.60574,2.95392,10.5597
South,2035011512,2.90574,8.1819,11.0876
