,generation_project,timepoint,load_zone,TECH_TYPE,period,total_dispatch_GWh,ccs_value_x,dispatch_after_ccs,ccs_load,ccs_value_y,zonal_dispatch,proportion,tx_losses,prev_gen_tech
0,N-Geothermal,1,North,Geothermal,2020,0.0,0.0,0.0,0.0,0.0,26.069304909486185,0.0,0.0,0.0
1,N-Coal_IGCC,1,North,Coal_IGCC,2020,0.0,0.0,0.0,0.0,0.0,26.069304909486185,0.0,0.0,0.0
2,N-Coal_ST,1,North,Coal_ST,2020,18.539988479999998,0.0,18.539988479999998,0.0,0.0,26.069304909486185,0.7111807754127578,0.0,17.557369090559998
3,N-NG_CC,1,North,NG_CC,2020,7.529316429486185,0.0,7.529316429486185,0.0,0.0,26.069304909486185,0.28881922458724213,0.0,7.130262658723416
4,N-NG_GT,1,North,NG_GT,2020,0.0,0.0,0.0,0.0,0.0,26.069304909486185,0.0,0.0,0.0
5,N-Biomass_IGCC,1,North,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,26.069304909486185,0.0,0.0,0.0
6,N-Residential_PV,1,North,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,26.069304909486185,0.0,0.0,0.0
7,N-Commercial_PV,1,North,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,26.069304909486185,0.0,0.0,0.0
8,N-Central_PV-1,1,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,26.069304909486185,0.0,0.0,0.0
9,N-Central_PV-2,1,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,26.069304909486185,0.0,0.0,0.0
10,N-Wind-1,1,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,26.069304909486185,0.0,0.0,0.0
11,N-Wind-2,1,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,26.069304909486185,0.0,0.0,0.0
12,N-Geothermal,2,North,Geothermal,2020,0.0,0.0,0.0,0.0,0.0,18.539988479999998,0.0,0.0,0.0
13,N-Coal_IGCC,2,North,Coal_IGCC,2020,0.0,0.0,0.0,0.0,0.0,18.539988479999998,0.0,0.0,0.0
14,N-Coal_ST,2,North,Coal_ST,2020,18.539988479999998,0.0,18.539988479999998,0.0,0.0,18.539988479999998,1.0,0.0,17.557369090559998
