gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Biomass_IGCC,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC,BioSolid,2030,88.46158451531156,1367272.92520169,0.0
Biomass_IGCC_CCS,BioSolid,2030,0.0,0.0,0.0
Central_PV,Solar,2020,-1.2805475977840693e-15,0.0,0.0
Central_PV,Solar,2030,1.243387130804479,0.0,0.0
Coal_IGCC,Coal,2020,69.0468101373256,335965.2068937934,52433.0428693228
Coal_IGCC,Coal,2030,69.04699917770664,335966.12671891786,52433.18642356353
Coal_IGCC_CCS,Coal,2030,0.0,0.0,0.0
Coal_ST,Coal,2020,29.664062784,103824.219744,26209.97931343104
Coal_ST,Coal,2030,14.832072,50429.044799999996,12750.835656959998
Commercial_PV,Solar,2020,0.0,0.0,0.0
Commercial_PV,Solar,2030,2.4053904,0.0,0.0
Geothermal,Geothermal,2020,33.96222243424797,1126000.5036962745,0.0
Geothermal,Geothermal,2030,0.0,0.0,0.0
NG_CC,NaturalGas,2020,18.098612525562572,71858.95806343068,6438.894511965569
NG_CC,NaturalGas,2030,-3.669883301052686e-14,-1.28717079302022e-10,0.0
NG_CC_CCS,NaturalGas,2030,0.0,0.0,0.0
NG_GT,NaturalGas,2020,0.10261664358464748,2282.768806526634,56.57187833836816
NG_GT,NaturalGas,2030,-1.9727875051984477e-15,-4.388584172564259e-11,-1.0875847312183704e-12
Nuclear,Uranium,2030,0.0,0.0,0.0
Residential_PV,Solar,2020,0.0,0.0,0.0
Residential_PV,Solar,2030,0.0,0.0,0.0
Wind,Wind,2020,4.179990114039349e-15,0.0,0.0
Wind,Wind,2030,22.48058232,0.0,0.0
