TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Central,North,1,2.72838572438183
Central,North,2,1.62842092325546
Central,North,3,2.17840332381865
Central,North,4,1.84841388348073
Central,North,5,1.62842092325546
Central,North,6,2.20234979157421
Central,North,7,0.373835527348371
Central,South,1,2.93322184567542
Central,South,2,4.77236299315866
Central,South,3,3.58880086714673
Central,South,4,4.235580170209
Central,South,5,4.77236299315865
Central,South,6,3.14246791575858
Central,South,7,8.7041520695252
North,Central,1,0.0
North,Central,2,0.0
North,Central,3,0.0
North,Central,4,0.0
North,Central,5,0.0
North,Central,6,0.0
North,Central,7,0.0
South,Central,1,0.0
South,Central,2,0.0
South,Central,3,0.0
South,Central,4,0.0
South,Central,5,0.0
South,Central,6,0.0
South,Central,7,0.0
