BASELOAD_GEN_PERIODS_1,BASELOAD_GEN_PERIODS_2,DispatchBaseloadByPeriod
C-Biomass_IGCC,2020,-0.0
C-Biomass_IGCC,2030,-0.0
C-Coal_IGCC,2020,0.0
C-Coal_IGCC,2030,2.70132456177402
C-Coal_ST,2020,1.692
C-Nuclear,2030,-0.0
N-Biomass_IGCC,2020,-0.0
N-Biomass_IGCC,2030,1.34371725448786
N-Biomass_IGCC_CCS,2030,-0.0
N-Coal_IGCC,2020,-0.0
N-Coal_IGCC,2030,-0.0
N-Coal_IGCC_CCS,2030,-0.0
N-Coal_ST,2020,1.692
N-Coal_ST,2030,1.692
N-Geothermal,2020,0.96858075
N-Geothermal,2030,-0.0
N-Nuclear,2030,-0.0
S-Biomass_IGCC,2020,-0.0
S-Biomass_IGCC,2030,3.75167128598886
S-Biomass_IGCC_CCS,2030,-0.0
S-Geothermal,2020,2.90574225
S-Geothermal,2030,1.53917390936489
