load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,WithdrawFromCentralGrid
North,2025011500,2.66058,2.61925,5.27983
North,2025011512,2.66058,1.56328,4.22386
North,2025011600,2.66058,2.09127,4.75185
North,2025011612,2.66058,1.77448,4.43506
North,2025061500,2.66058,1.56328,4.22386
North,2025061512,3.98113,2.35467,6.3358
North,2035011512,2.66058,3.67522,6.3358
Central,2025011500,9.81911,-5.91204,3.90707
Central,2025011512,9.81911,-6.65121,3.1679
Central,2025011600,9.81911,-6.01763,3.80148
Central,2025011612,9.81911,-6.33442,3.48469
Central,2025061500,9.81911,-6.65121,3.1679
Central,2025061512,9.81911,-5.59525,4.22386
Central,2035011512,17.3899,-12.5325,4.85744
South,2025011500,3.34317,2.99263,6.3358
South,2025011512,2.90574,4.48602,7.39176
South,2025011600,3.2549,3.60888,6.86378
South,2025011612,3.38611,4.21685,7.60296
South,2025061500,3.72631,4.72142,8.44773
South,2025061512,7.60574,2.95392,10.5597
South,2035011512,2.90574,8.1819,11.0876
