gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Biomass_IGCC,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC,BioSolid,2030,0.0,0.0,0.0
Biomass_IGCC_CCS,BioSolid,2030,0.0,0.0,0.0
Central_PV,Solar,2020,-7.56378912719332e-15,0.0,0.0
Central_PV,Solar,2030,31.714887858970833,0.0,0.0
Coal_IGCC,Coal,2020,0.0,0.0,0.0
Coal_IGCC,Coal,2030,0.0,0.0,0.0
Coal_IGCC_CCS,Coal,2030,28.96546816798125,285541.58519995917,4307.878825714467
Coal_ST,Coal,2020,29.664062784,103824.219744,26209.97931343104
Coal_ST,Coal,2030,14.832072,50429.044799999996,12750.835656959998
Commercial_PV,Solar,2020,0.0,0.0,0.0
Commercial_PV,Solar,2030,18.57305016,0.0,0.0
Geothermal,Geothermal,2020,33.962222434248,1126000.5036962754,0.0
Geothermal,Geothermal,2030,25.4717365635,881220.1981508458,0.0
NG_CC,NaturalGas,2020,59.38042934184897,225158.21223105193,21125.61501979039
NG_CC,NaturalGas,2030,5.93872185470687e-14,1.6882728693173738e-10,0.0
NG_CC_CCS,NaturalGas,2030,-5.681638744195919e-14,-5.283924032102205e-10,0.0
NG_GT,NaturalGas,2020,25.399320294683505,636558.4624612588,14002.477642945061
NG_GT,NaturalGas,2030,13.69052206268837,304553.8775977404,7547.494455714485
Nuclear,Uranium,2030,0.0,0.0,0.0
Residential_PV,Solar,2020,4.242177173970083e-15,0.0,0.0
Residential_PV,Solar,2030,14.475295800000001,0.0,0.0
Wind,Wind,2020,5.778502676356831e-16,0.0,0.0
Wind,Wind,2030,57.94413659999999,0.0,0.0
