RFM_SUPPLY_TIERS_1,RFM_SUPPLY_TIERS_2,RFM_SUPPLY_TIERS_3,ConsumeFuelTier
All_DistOil,2020,0,0.0
All_DistOil,2030,0,0.0
All_NG,2020,0,495504.843248385
All_NG,2020,1,0.0
All_NG,2030,0,0.0
All_NG,2030,1,0.0
Central_Coal,2020,0,265835.879238381
Central_Coal,2030,0,241525.304992663
Central_ResidualFuelOil,2020,0,0.0
Central_ResidualFuelOil,2030,0,0.0
Central_Uranium,2020,0,0.0
Central_Uranium,2030,0,0.0
North_Bio,2020,0,0.0
North_Bio,2020,1,0.0
North_Bio,2030,0,350684.177146712
North_Bio,2030,1,0.0
North_Coal,2020,0,133488.282528
North_Coal,2030,0,133488.648
North_ResidualFuelOil,2020,0,0.0
North_ResidualFuelOil,2030,0,0.0
North_Uranium,2020,0,0.0
North_Uranium,2030,0,0.0
South_Bio,2020,0,0.0
South_Bio,2020,1,0.0
South_Bio,2030,0,278529.015237137
South_Bio,2030,1,0.0
South_ResidualFuelOil,2020,0,0.0
South_ResidualFuelOil,2030,0,0.0
South_Uranium,2020,0,0.0
South_Uranium,2030,0,0.0
