generation_project,timestamp,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,tp_weight_in_year_hrs,period,DispatchGen_MW,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,TotalDispatchGWh
N-Geothermal,2025011500,N-Geothermal,Geothermal,North,Geothermal,1095.744,2020,0.96858075,1.061316545,30597.756,0,10.61316545
N-Geothermal,2025011512,N-Geothermal,Geothermal,North,Geothermal,1095.744,2020,0.96858075,1.061316545,30597.756,0,10.61316545
N-Geothermal,2025011600,N-Geothermal,Geothermal,North,Geothermal,1095.744,2020,0.96858075,1.061316545,30597.756,0,10.61316545
N-Geothermal,2025011612,N-Geothermal,Geothermal,North,Geothermal,1095.744,2020,0.96858075,1.061316545,30597.756,0,10.61316545
N-Geothermal,2025061500,N-Geothermal,Geothermal,North,Geothermal,2191.5,2020,0.96858075,2.122644714,61195.84709,0,21.22644714
N-Geothermal,2025061512,N-Geothermal,Geothermal,North,Geothermal,2191.5,2020,0.96858075,2.122644714,61195.84709,0,21.22644714
N-Geothermal,2035011512,N-Geothermal,Geothermal,North,Geothermal,8766,2030,0.96858075,8.490578855,244783.3884,0,84.90578855
N-Coal_IGCC,2025011500,N-Coal_IGCC,Coal_IGCC,North,Coal,1095.744,2020,-1.55E-15,-1.70E-15,-1.04E-11,-1.29E-12,-1.70313E-14
N-Coal_IGCC,2025011512,N-Coal_IGCC,Coal_IGCC,North,Coal,1095.744,2020,-1.55E-15,-1.70E-15,-1.04E-11,-1.29E-12,-1.70313E-14
N-Coal_IGCC,2025011600,N-Coal_IGCC,Coal_IGCC,North,Coal,1095.744,2020,-1.55E-15,-1.70E-15,-1.04E-11,-1.29E-12,-1.70313E-14
N-Coal_IGCC,2025011612,N-Coal_IGCC,Coal_IGCC,North,Coal,1095.744,2020,-1.55E-15,-1.70E-15,-1.04E-11,-1.29E-12,-1.70313E-14
N-Coal_IGCC,2025061500,N-Coal_IGCC,Coal_IGCC,North,Coal,2191.5,2020,0,0,0,0,0
N-Coal_IGCC,2025061512,N-Coal_IGCC,Coal_IGCC,North,Coal,2191.5,2020,-1.55E-15,-3.41E-15,-2.07E-11,-2.59E-12,-3.40628E-14
N-Coal_IGCC,2035011512,N-Coal_IGCC,Coal_IGCC,North,Coal,8766,2030,-1.55E-15,-1.36E-14,-8.29E-11,-1.03E-11,-1.36251E-13
N-Coal_IGCC_CCS,2035011512,N-Coal_IGCC_CCS,Coal_IGCC_CCS,North,Coal,8766,2030,-5.80E-16,-5.08E-15,-5.01E-11,-7.56E-13,-5.08279E-14
N-Coal_ST,2025011500,N-Coal_ST,Coal_ST,North,Coal,1095.744,2020,1.692,1.853998848,6303.596083,1593.84573,18.53998848
N-Coal_ST,2025011512,N-Coal_ST,Coal_ST,North,Coal,1095.744,2020,1.692,1.853998848,6303.596083,1593.84573,18.53998848
N-Coal_ST,2025011600,N-Coal_ST,Coal_ST,North,Coal,1095.744,2020,1.692,1.853998848,6303.596083,1593.84573,18.53998848
N-Coal_ST,2025011612,N-Coal_ST,Coal_ST,North,Coal,1095.744,2020,1.692,1.853998848,6303.596083,1593.84573,18.53998848
N-Coal_ST,2025061500,N-Coal_ST,Coal_ST,North,Coal,2191.5,2020,1.692,3.708018,12607.2612,3187.708914,37.08018
N-Coal_ST,2025061512,N-Coal_ST,Coal_ST,North,Coal,2191.5,2020,1.692,3.708018,12607.2612,3187.708914,37.08018
N-Coal_ST,2035011512,N-Coal_ST,Coal_ST,North,Coal,8766,2030,1.692,14.832072,50429.0448,12750.83566,148.32072
N-NG_CC,2025011500,N-NG_CC,NG_CC,North,NaturalGas,1095.744,2020,1.88,2.05999872,7030.981631,732.8801826,20.5999872
N-NG_CC,2025011512,N-NG_CC,NG_CC,North,NaturalGas,1095.744,2020,1.563284086,1.712959158,5846.500902,609.4148546,17.12959158
N-NG_CC,2025011600,N-NG_CC,NG_CC,North,NaturalGas,1095.744,2020,1.88,2.05999872,7030.981631,732.8801826,20.5999872
N-NG_CC,2025011612,N-NG_CC,NG_CC,North,NaturalGas,1095.744,2020,1.774477328,1.944372885,6636.339095,691.7442916,19.44372885
N-NG_CC,2025061500,N-NG_CC,NG_CC,North,NaturalGas,2191.5,2020,1.60711907,3.522001443,12020.94312,1253.012944,35.22001443
