GEN_TPS_1,GEN_TPS_2,DispatchGen,ts_duration_of_tp,ts_num_tps,ts_scale_to_period,VariableDispatchGWh
N-Geothermal,1,0.96858075,12,4,913.12,10.61316545
N-Geothermal,2,0.96858075,12,4,913.12,10.61316545
N-Geothermal,3,0.96858075,12,4,913.12,10.61316545
N-Geothermal,4,0.96858075,12,4,913.12,10.61316545
N-Geothermal,5,0.96858075,12,2,1826.25,21.22644714
N-Geothermal,6,0.96858075,12,2,1826.25,21.22644714
N-Geothermal,7,0.96858075,24,1,3652.5,84.90578855
N-Coal_IGCC,1,-1.55E-15,,,,
N-Coal_IGCC,2,-1.55E-15,,,,
N-Coal_IGCC,3,-1.55E-15,,,,
N-Coal_IGCC,4,-1.55E-15,,,,
N-Coal_IGCC,5,0,,,,
N-Coal_IGCC,6,-1.55E-15,,,,
N-Coal_IGCC,7,-1.55E-15,,,,
N-Coal_IGCC_CCS,7,-5.80E-16,,,,
N-Coal_ST,1,1.692,,,,
N-Coal_ST,2,1.692,,,,
N-Coal_ST,3,1.692,,,,
N-Coal_ST,4,1.692,,,,
N-Coal_ST,5,1.692,,,,
N-Coal_ST,6,1.692,,,,
N-Coal_ST,7,1.692,,,,
N-NG_CC,1,1.88,12,4,913.12,20.5999872
N-NG_CC,2,1.563284086,12,4,913.12,17.12959158
N-NG_CC,3,1.88,12,4,913.12,20.5999872
N-NG_CC,4,1.774477328,12,4,913.12,19.44372885
N-NG_CC,5,1.60711907,12,2,1826.25,35.22001443
N-NG_CC,6,1.88,12,2,1826.25,41.2002
N-NG_CC,7,1.88,24,1,3652.5,164.8008
N-NG_CC_CCS,7,0,24,1,3652.5,0
N-NG_GT,1,0,12,4,913.12,0
N-NG_GT,2,0,12,4,913.12,0
N-NG_GT,3,0,12,4,913.12,0
N-NG_GT,4,0,12,4,913.12,0
N-NG_GT,5,0,12,2,1826.25,0
N-NG_GT,6,1.795216504,12,2,1826.25,39.3421697
N-NG_GT,7,0,24,1,3652.5,0
N-Nuclear,7,0,,,,
N-Biomass_IGCC,1,0,,,,
N-Biomass_IGCC,2,0,,,,
N-Biomass_IGCC,3,0,,,,
N-Biomass_IGCC,4,0,,,,
N-Biomass_IGCC,5,0,,,,
N-Biomass_IGCC,6,0,,,,
N-Biomass_IGCC,7,0,,,,
N-Biomass_IGCC_CCS,7,0,,,,
N-Residential_PV,1,0,12,4,913.12,0
N-Residential_PV,2,0,12,4,913.12,0
N-Residential_PV,3,0,12,4,913.12,0
N-Residential_PV,4,0,12,4,913.12,0
N-Residential_PV,5,0,12,2,1826.25,0
N-Residential_PV,6,0,12,2,1826.25,0
N-Residential_PV,7,0,24,1,3652.5,0
N-Commercial_PV,1,0,12,4,913.12,0
N-Commercial_PV,2,0,12,4,913.12,0
N-Commercial_PV,3,0,12,4,913.12,0
N-Commercial_PV,4,0,12,4,913.12,0
N-Commercial_PV,5,0,12,2,1826.25,0
N-Commercial_PV,6,0,12,2,1826.25,0
N-Commercial_PV,7,0,24,1,3652.5,0
N-Central_PV-1,1,0,12,4,913.12,0
N-Central_PV-1,2,0,12,4,913.12,0
