PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,29836619.774477918,4260036.58543542
2020,LocalTDFixedCosts,annual,14240596.00103144,2033255.1214361144
2020,FuelCostsPerPeriod,annual,22732324.366025373,3245693.8555114074
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,23525250.627417453,5471305.418789327
2030,LocalTDFixedCosts,annual,11068169.152886221,2574141.9218585007
2030,FuelCostsPerPeriod,annual,12458884.327557988,2897582.7893622145
2030,TxFixedCosts,annual,1091555.6972434751,253864.86613146894
2020,GenVariableOMCostsInTP,timepoint,12590539.019968832,1797661.975814684
2030,GenVariableOMCostsInTP,timepoint,5882307.014171924,1368057.6139797918
