PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,29836619.774477925,4260036.585435421
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,22732324.36602537,3245693.855511407
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2020,EmissionsCosts,annual,0.0,0.0
2020,FlexibleEnergyFixedCost,annual,0.0,0.0
2030,TotalGenFixedCosts,annual,23525250.62741746,5471305.418789329
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,12458884.327557983,2897582.789362213
2030,TxFixedCosts,annual,1091555.6972434758,253864.8661314691
2030,EmissionsCosts,annual,0.0,0.0
2030,FlexibleEnergyFixedCost,annual,0.0,0.0
2020,GenVariableOMCostsInTP,timepoint,12590539.019968834,1797661.9758146843
2030,GenVariableOMCostsInTP,timepoint,5882307.01417192,1368057.6139797906
