BASELOAD_GEN_PERIODS_1,BASELOAD_GEN_PERIODS_2,DispatchBaseloadByPeriod
N-Geothermal,2020,0.96858075
N-Geothermal,2030,0.96858075
N-Coal_IGCC,2020,13.178678476040362
N-Coal_IGCC,2030,17.820821857588513
N-Coal_IGCC_CCS,2030,0.0
N-Coal_ST,2020,0.0
N-Coal_ST,2030,0.0
N-Nuclear,2030,0.0
N-Biomass_IGCC,2020,0.0
N-Biomass_IGCC,2030,0.0
N-Biomass_IGCC_CCS,2030,0.0
C-Coal_IGCC,2020,0.0
C-Coal_IGCC,2030,0.0
C-Coal_ST,2020,1.505018165850565
C-Nuclear,2030,0.0
C-Biomass_IGCC,2020,-0.0
C-Biomass_IGCC,2030,-0.0
S-Geothermal,2020,0.0
S-Geothermal,2030,0.0
S-Biomass_IGCC,2020,0.0
S-Biomass_IGCC,2030,0.0
S-Biomass_IGCC_CCS,2030,0.0
