TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Central,South,1,6.110674245658181
Central,South,2,7.863578152733156
Central,South,3,6.723134646925341
Central,South,4,7.344042777865153
Central,South,5,7.863578152733156
Central,South,6,6.233683075333081
Central,South,7,11.795367229099734
Central,North,1,0.0
Central,North,2,0.0
Central,North,3,0.0
Central,North,4,0.0
Central,North,5,0.0
Central,North,6,0.0
Central,North,7,0.0
North,Central,1,8.867428180633816
North,Central,2,9.923394389715124
North,Central,3,9.39541128517447
North,Central,4,9.712201147898863
North,Central,5,9.923394389715124
North,Central,6,7.8114619715525055
North,Central,7,12.453605353100656
South,Central,1,0.0
South,Central,2,0.0
South,Central,3,0.0
South,Central,4,0.0
South,Central,5,0.0
South,Central,6,0.0
South,Central,7,0.0
