PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,65194929.679360904,9308453.427976385
2020,LocalTDFixedCosts,annual,14240596.00103144,2033255.1214361144
2020,FuelCostsPerPeriod,annual,17632535.98268688,2517552.2209960856
2020,TxFixedCosts,annual,2234748.5650755116,319074.70478993194
2020,EmissionsCosts,annual,0.0,0.0
2030,TotalGenFixedCosts,annual,45174218.96919796,10506240.845217353
2030,LocalTDFixedCosts,annual,11068169.152886221,2574141.9218585007
2030,FuelCostsPerPeriod,annual,10929336.90733235,2541853.4829622824
2030,TxFixedCosts,annual,1927862.511570494,448366.08856117306
2030,EmissionsCosts,annual,0.0,0.0
2020,GenVariableOMCostsInTP,timepoint,7448697.304974677,1063516.0173261142
2030,GenVariableOMCostsInTP,timepoint,5137894.508416892,1194928.3988629382
