gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Biomass_IGCC,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC,BioSolid,2030,0.0,0.0,0.0
Biomass_IGCC_CCS,BioSolid,2030,0.0,0.0,0.0
Central_PV,Solar,2020,0.0,0.0,0.0
Central_PV,Solar,2030,0.0,0.0,0.0
Coal_IGCC,Coal,2020,115.52397923268639,702639.9464890453,87727.06144563433
Coal_IGCC,Coal,2030,156.2173244036209,950145.0104877031,118628.93667491924
Coal_IGCC_CCS,Coal,2030,0.0,0.0,0.0
Coal_ST,Coal,2020,13.192953121410074,47494.63123707627,11971.813380492356
Coal_ST,Coal,2030,0.0,0.0,0.0
Commercial_PV,Solar,2020,0.0,0.0,0.0
Commercial_PV,Solar,2030,0.0,0.0,0.0
Geothermal,Geothermal,2020,8.490555608562001,244782.71819484245,0.0
Geothermal,Geothermal,2030,8.4905788545,244783.388375235,0.0
NG_CC,NaturalGas,2020,17.81068058890203,68598.72140515012,6336.457744276086
NG_CC,NaturalGas,2030,0.0,0.0,0.0
NG_CC_CCS,NaturalGas,2030,0.0,0.0,0.0
NG_GT,NaturalGas,2020,0.0,0.0,0.0
NG_GT,NaturalGas,2030,0.0,0.0,0.0
Nuclear,Uranium,2030,0.0,0.0,0.0
Residential_PV,Solar,2020,0.0,0.0,0.0
Residential_PV,Solar,2030,0.0,0.0,0.0
Wind,Wind,2020,0.0,0.0,0.0
Wind,Wind,2030,41.17697581453022,0.0,0.0
