load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,WithdrawFromCentralGrid
North,2025011500,14.1473,-8.86743,5.27983
North,2025011512,14.1473,-9.92339,4.22386
North,2025011600,14.1473,-9.39541,4.75185
North,2025011612,14.1473,-9.7122,4.43506
North,2025061500,14.1473,-9.92339,4.22386
North,2025061512,14.1473,-7.81146,6.3358
North,2035011512,18.7894,-12.4536,6.3358
Central,2025011500,1.50502,2.40206,3.90707
Central,2025011512,1.50502,1.66288,3.1679
Central,2025011600,1.50502,2.29646,3.80148
Central,2025011612,1.50502,1.97967,3.48469
Central,2025061500,1.50502,1.66288,3.1679
Central,2025061512,2.95854,1.26532,4.22386
Central,2035011512,4.69735,0.160094,4.85744
South,2025011500,0.591763,5.74403,6.3358
South,2025011512,0,7.39176,7.39176
South,2025011600,0.544034,6.31975,6.86378
South,2025011612,0.699556,6.9034,7.60296
South,2025061500,1.05597,7.39176,8.44773
South,2025061512,4.7,5.85966,10.5597
South,2035011512,0,11.0876,11.0876
